平台,所属模块,用例标题,前置条件,步骤,预期,关键词,优先级,用例类型,适用阶段,,类型可选值列表,阶段可选值列表,平台
,/安装系统/进度条显示(#5307),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/安装系统/安装内容显示(#5308),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/安装反馈(#5240),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/安装反馈/安装成功(#5309),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/安装反馈/安装失败(#5310),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/安装反馈/保存日志(#5311),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/模块显示顺序(#5241),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/其他检查项(#5242),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/其他检查项/系统信息检测(#5339),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/其他检查项/Grub自定义设置(#5340),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/其他检查项/grub分辨率测试(#5341),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/系统引导(#5243),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/系统引导/传统BIOS引导(#5342),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/系统引导/URFI BIOS引导(#5343),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/其他安装方式(#5246),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/其他安装方式/光盘安装(#5344),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/其他安装方式/PXE安装(#5345),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/其他安装方式/空硬盘安装(#5346),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/其他安装方式/双硬盘安装(#5347),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/极端情况下交互引导(#5247),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/极端情况下交互引导/虚拟机提示(#5349),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
,/极端情况下交互引导/内存低于4G(#5350),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,
